"MajorCommandID","TotalCount","pFixedPrice","pTerminated","pChanged","avNumberOfChangeOrders","avChangeOrderGrowth","pSomeCompetition","avOffers","pSingleOffer"
"ORG-2943",199,0.844221105527638,0.0100502512562814,0.361809045226131,6.84722222222222,1.12894896125196,0.688442211055276,4.32323232323232,0.398989898989899
"ORG-2785",203,1,0,0,NA,NA,0.990147783251232,4.58620689655172,0.0394088669950739
"ORG-2937",283,0.823321554770318,0.0247349823321555,0.0918727915194346,1.76923076923077,0.311766148142536,0.413427561837456,2.5,0.692857142857143
"ORG-2877",1332,0.731231231231231,0.0195195195195195,0.380630630630631,4.30177514792899,0.836149318974314,0.572072072072072,6.35218702865762,0.585218702865762
"ORG-2825",789,0.453738910012674,0.0392902408111534,0.130544993662864,4.86407766990291,0.737025848691764,0.477820025348542,7.14376590330789,0.623409669211196
"ORG-2872",780,0.952564102564103,0.0141025641025641,0.621794871794872,11.4371134020619,0.155300521214587,0.842307692307692,6.07922077922078,0.21038961038961
"ORG-2834",54,0.388888888888889,0,0.240740740740741,1.69230769230769,0.347523524638604,0.703703703703704,2.57407407407407,0.444444444444444
"ORG-2939",42,0.904761904761905,0,0.428571428571429,3.27777777777778,1.12269248063114,0.976190476190476,3.5952380952381,0.119047619047619
"ORG-2940",292,0.955479452054794,0.00342465753424658,0.424657534246575,7.14516129032258,0.278052062960725,0.825342465753425,5.68166089965398,0.221453287197232
"ORG-2941",252,0.361111111111111,0.00793650793650794,0.178571428571429,112.644444444444,0.408636825165562,0.551587301587302,2.18253968253968,0.678571428571428
"ORG-2944",207,0.415458937198068,0,0.0821256038647343,1.47058823529412,0.305519170805122,0.734299516908212,3.00970873786408,0.480582524271845
"ORG-2790",92,0.989130434782609,0,0,NA,NA,0.771739130434783,4.16304347826087,0.326086956521739
"ORG-2936",196,0.397959183673469,0.0102040816326531,0.183673469387755,2.80555555555556,0.412322008212085,0.489795918367347,2.02051282051282,0.712820512820513
"ORG-2945",28,0.25,0,0.107142857142857,5.33333333333333,0.244490805652772,0.785714285714286,215.821428571429,0.392857142857143
"ORG-2791",34,0.852941176470588,0.0588235294117647,0.0882352941176471,2.33333333333333,0.151727742631592,0.823529411764706,6.21875,0.625
"ORG-2871",40,0.25,0,0.275,2.54545454545455,0.252311772512405,0.925,3.31578947368421,0.263157894736842
"ORG-2787",149,0.966442953020134,0.0268456375838926,0.0134228187919463,1,2.8147564095631,0.436241610738255,1.73154362416107,0.718120805369127
"ORG-2836",36,0.75,0,0.138888888888889,2.8,0.00456339806656393,0.666666666666667,2.94444444444444,0.388888888888889
"ORG-2775",256,1,0.1171875,0.15234375,1.92307692307692,0.326795972503328,0.9296875,19.00390625,0.0859375
"ORG-2876",81,0.938271604938272,0,0.0987654320987654,1.25,0.0642952067661468,0.703703703703704,4.05333333333333,0.44
"ORG-2843",46,0.869565217391304,0.0434782608695652,0.173913043478261,1.875,1.62606576406067,0.739130434782609,4.60869565217391,0.391304347826087
"ORG-2786",188,1,0,0.0106382978723404,15,0.99990792448623,0.936170212765957,3.69148936170213,0.0691489361702128
"ORG-2869",105,0.933333333333333,0.00952380952380952,0.295238095238095,8.16129032258065,0.159077794000507,0.8,3.97142857142857,0.352380952380952
"ORG-2835",33,0.727272727272727,0,0.212121212121212,1.71428571428571,0.0346875163133698,0.818181818181818,3.81818181818182,0.242424242424242
