idvpiid,piid,CSIScontractID,ContractLabelID,hyphenatedIDVpiid,CSISidvpiidID,IsPerformanceBasedLogistics,ContractingAgencyID,ContractingOfficeID,MajorCommandID,FundingAgencyID,FundingOfficeID,TypeOfContractPricing,SystemEquipmentCode,StatutoryExceptionToFairOpportunity,ExtentCompeted,MinOfEffectiveDate,MaxOfEffectiveDate,CSISsolicitationID,ContractNumber,MinOfSignedDate,LastUltimateCompletionDate,MaxOfSignedDate,AnyIdentifiedSystemEquipment,CSISmodifiedDate,CSISmodifiedBy
N0017808D5316,1,18804263,NULL,NULL,97883,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5317,1,18804264,NULL,NULL,54999,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5319,1,18804267,NULL,NULL,119894,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5320,1,18804268,NULL,NULL,275637,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5321,1,18804269,NULL,NULL,169942,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5322,1,18804270,NULL,NULL,269948,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5323,1,18804271,NULL,NULL,295837,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5324,1,18804272,NULL,NULL,122603,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5325,1,18804273,NULL,NULL,40865,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5327,1,18804275,NULL,NULL,400401,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5328,1,18804276,NULL,NULL,133624,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
