"CSIScontractID","SumOfnumberOfActions","SumofObligatedAmount","SumOfbaseandexercisedoptionsvalue","Sumofbaseandalloptionsvalue","StartFiscal_Year","maxoffiscal_year","IsIDV","idvpiid","piid","ContractLabelID","hyphenatedIDVpiid","CSISidvpiidID","IsPerformanceBasedLogistics","ContractingAgencyID","ContractingOfficeID","MajorCommandID","FundingAgencyID","FundingOfficeID","TypeOfContractPricing","systemequipmentcode","statutoryexceptiontofairopportunity","extentcompeted","IsSomeCompetition","IsFullAndOpen","IsCostBased","IsFixedPrice","IsIncentive","contractactiontype","ObligatedAmount","MinOfEffectiveDate","MaxOfEffectiveDate","ChangeOrderObligatedAmount","ChangeOrderBaseAndExercisedOptionsValue","ChangeOrderBaseAndAllOptionsValue","NewWorkObligatedAmount","NewWorkBaseAndExercisedOptionsValue","NewWorkBaseAndAllOptionsValue","SumOfUnmodifiedobligatedAmount","SumOfUnmodifiedbaseandexercisedoptionsvalue","SumOfUnmodifiedbaseandalloptionsvalue","UnmodifiedNumberOfOffersReceived","IsClosed","IsModified","IsTerminated","SumOfisChangeOrder","MaxOfisChangeOrder","SumOfisNewWork","MaxOfisNewWork"
20425550,1,336576692.55,336576692.55,336576692.55,2008,2008,1,"SP060008D0461","B001",NA,"",203516,"","97AS","SP0600",NA,NA,NA,"K","000","","A",NA,NA,NA,"True",NA,NA,336576692.55,"2007-12-14 00:00:00.0000000","2007-12-14 00:00:00.0000000",0,0,0,0,0,0,336576692.55,336576692.55,336576692.55,10,0,0,0,0,0,0,0
8145252,4,1633288.9,1749228,1749228,2006,2011,0,"","W911SR06C0023",NA,"",23356,"","2100","W911SR",NA,NA,NA,"S","000","","A",NA,NA,NA,"False",NA,NA,1633288.9,"2006-08-14 00:00:00.0000000","2011-09-22 00:00:00.0000000",0,0,0,0,0,0,1749228,1749228,1749228,NA,1,1,0,0,0,0,0
2966623,68,1279029588,1962978134,2018069039,2007,2013,0,"","N0003007C0100",NA,"",23356,"","1700","N00030",NA,NA,NA,"","178","","C",NA,NA,NA,"False",NA,NA,1279029588,"2007-05-31 00:00:00.0000000","2013-09-27 00:00:00.0000000",14574,14574,14574,632746966,1031453331,954451439,20507000,20507000,20507000,NA,1,1,1,1,1,22,1
24811855,1,208261.81,208261.81,208261.81,2009,2009,1,"W912GB08D0006","0006",NA,"",111419,"","2100","W912GB",NA,NA,NA,"J","000","","A",NA,NA,NA,"True",NA,NA,208261.81,"2009-06-08 00:00:00.0000000","2009-06-08 00:00:00.0000000",0,0,0,0,0,0,208261.81,208261.81,208261.81,5,0,0,0,0,0,0,0
20431466,10,688249501.835,688249501.835,688249501.835,2012,2013,1,"SP060012D1009","B001",NA,"",428252,"","97AS","SP0600",NA,NA,NA,"K","000","","A",NA,NA,NA,"True",NA,NA,688249501.835,"2012-03-27 00:00:00.0000000","2013-08-27 00:00:00.0000000",0,0,0,-217643.725,-217643.725,-217643.725,688467145.56,688467145.56,688467145.56,NA,0,1,0,0,0,9,1
18498286,12,23228248.25,23228248.25,23228248.25,2009,2011,1,"HTC71109D0022","0001",NA,"",110018,"","9776","HTC711",NA,NA,NA,"J","000","FAIR","A",NA,NA,NA,"True",NA,NA,23228248.25,"2008-12-19 00:00:00.0000000","2011-05-11 00:00:00.0000000",0,0,0,0,0,0,6950950,6950950,6950950,NA,1,1,0,0,0,0,0
1415923,44,534731983.58,545747222.68,545747222.68,2007,2013,0,"","FA861507C6031",NA,"",23356,"","5700","FA8615",NA,NA,NA,"J","000","","C",NA,NA,NA,"True",NA,NA,534731983.58,"2006-12-05 00:00:00.0000000","2013-09-10 00:00:00.0000000",29544133,42794133,42794133,6289823,3631868,3631868,78431000,144069000,144069000,NA,0,1,0,7,1,20,1
10098526,1,1596366,0,0,2005,2005,1,"FA870704D0008","0004",NA,"",303743,"","5700","FA8707",NA,NA,NA,"J","000","","C",NA,NA,NA,"True",NA,NA,1596366,"2005-08-26 00:00:00.0000000","2005-08-26 00:00:00.0000000",0,0,0,0,0,0,1596366,0,0,1,0,0,0,0,0,0,0
5142477,1,96025.93,96025.93,96025.93,2012,2012,0,"","SPM7M912V1553",NA,"",23356,"","97AS","SPM7M9",NA,NA,NA,"J","000","","A",NA,NA,NA,"True",NA,NA,96025.93,"2011-11-30 00:00:00.0000000","2011-11-30 00:00:00.0000000",0,0,0,0,0,0,96025.93,96025.93,96025.93,5,0,0,0,0,0,0,0
9120834,91,6062153912.53,0,0,2003,2013,1,"DAAA0902D0007","0059",NA,"",281344,"","2100","",NA,NA,NA,"","000","","A",NA,NA,NA,"False",NA,NA,6062153912.53,"2003-08-12 00:00:00.0000000","2013-06-04 00:00:00.0000000",0,0,0,210039309.2,0,0,1.6e+08,0,0,NA,0,1,0,0,0,21,1
2963995,754,245403500,245403500,245403500,2007,2013,0,"","N0002407C4404",NA,"",23356,"","1700","",NA,NA,NA,"","000","","C",NA,NA,NA,"False",NA,NA,245403500,"2007-08-28 00:00:00.0000000","2020-02-22 00:00:00.0000000",144991812,144991812,144991812,13688752,13688752,13688752,4945581,4945581,4945581,NA,0,1,0,430,1,43,1
18498433,10,7304375.93,7304375.93,7304375.93,2012,2012,1,"HTC71109D0031","9110",NA,"",137293,"","9776","HTC711",NA,NA,NA,"K","000","FAIR","A",NA,NA,NA,"True",NA,NA,7304375.93,"2012-07-31 00:00:00.0000000","2012-07-31 00:00:00.0000000",0,0,0,0,0,0,7304375.93,7304375.93,7304375.93,20,0,0,0,0,0,0,0
2960592,28,1536819841.45,0,0,2002,2013,0,"","N0001901C0147",NA,"",23356,"","","",NA,NA,NA,"","","","C",NA,NA,NA,"True",NA,NA,1536819841.45,"2002-05-08 00:00:00.0000000","2013-03-20 00:00:00.0000000",0,0,0,424515842,0,0,0,0,0,NA,1,1,0,11,1,4,1
7878687,174,1064251079.72,1064251079.72,1064251079.72,2007,2013,0,"","W15P7T07CM204",NA,"",23356,"","2100","",NA,NA,NA,"","000","","",NA,NA,NA,"",NA,NA,1064251079.72,"2007-07-25 00:00:00.0000000","2013-09-25 00:00:00.0000000",59013745.53,59013745.53,59013745.53,740125626.16,740125626.16,740125626.16,116129282.17,116129282.17,116129282.17,NA,0,1,0,28,1,119,1
25571809,1,39700008,39700008,39700008,2013,2013,0,"","W912DR13C0035",NA,"",23356,"","2100","W912DR",NA,NA,NA,"J","000","","A",NA,NA,NA,"True",NA,NA,39700008,"2013-07-22 00:00:00.0000000","2013-07-22 00:00:00.0000000",0,0,0,0,0,0,39700008,39700008,39700008,8,0,0,0,0,0,0,0
25841761,7,70282070.2079,70282070.2079,70282070.2079,2013,2013,1,"HTC71113DCC04","0011",NA,"",41108,"","9776","HTC711",NA,NA,NA,"J","000","FAIR","A",NA,NA,NA,"True",NA,NA,70282070.2079,"2012-10-01 00:00:00.0000000","2013-08-06 00:00:00.0000000",0,0,0,-173601.7921,-173601.7921,-173601.7921,70455672,70455672,70455672,NA,0,1,0,0,0,4,1
2966962,22,141934473,168574954,239917898,2012,2013,0,"","N0003012C0006",NA,"",23356,"","1700","N00030",NA,NA,NA,"V","177","","C",NA,NA,NA,"False",NA,NA,141934473,"2011-12-29 00:00:00.0000000","2013-06-03 00:00:00.0000000",0,0,0,15304073,56847503,154894,70442894,70442894,225038229,NA,0,1,0,0,0,8,1
26096932,1,139665.4688,139665.4688,139665.4688,2013,2013,1,"SPM30010D3375","015M",NA,"",400983,"","97AS","SPM300",NA,NA,NA,"J","000","","A",NA,NA,NA,"True",NA,NA,139665.4688,"2013-09-09 00:00:00.0000000","2013-09-09 00:00:00.0000000",0,0,0,0,0,0,139665.4688,139665.4688,139665.4688,3,0,0,0,0,0,0,0
9857706,1,569880,0,0,2004,2004,1,"F1162603D0024","0250",NA,"",85558,"","5700","QA02",NA,NA,NA,"J","000","MG","D",NA,NA,NA,"True",NA,NA,569880,"2004-02-27 00:00:00.0000000","2004-02-27 00:00:00.0000000",0,0,0,0,0,0,569880,0,0,30,0,0,0,0,0,0,0
1187247,44,1924383527.32,0,0,2000,2011,0,"","F3365799C0036",NA,"",23356,"","5700","",NA,NA,NA,"","000","","C",NA,NA,NA,"",NA,NA,1924383527.32,"1999-12-30 00:00:00.0000000","2011-08-08 00:00:00.0000000",8344537,0,0,18502827,0,0,2.75e+08,0,0,NA,1,1,0,12,1,12,1
25801606,3,8098001,8098001,8098001,2013,2013,1,"H9225409D0001","0834",NA,"",36639,"","97ZS","H92254",NA,NA,NA,"U","000","","A",NA,NA,NA,"False",NA,NA,8098001,"2013-05-11 00:00:00.0000000","2013-09-25 00:00:00.0000000",0,0,0,0,0,0,7947487,8098001,8098001,NA,0,1,0,0,0,0,0
15381946,159,192617340,0,0,2001,2008,1,"GS09K99BHD0004","N6133901F1002",NA,"",138716,"","1700","",NA,NA,NA,"","","","A",NA,NA,NA,"True",NA,NA,192617340,"2001-02-08 00:00:00.0000000","2008-05-01 00:00:00.0000000",48235164,0,0,19659692,0,0,2671269,0,0,NA,0,1,0,36,1,15,1
24502905,3,17047940,17047940,29896880,2009,2010,1,"W15P7T06DL215","0022",NA,"",183386,"","2100","W15P7T",NA,NA,NA,"J","000","FAIR","A",NA,NA,NA,"True",NA,NA,17047940,"2009-07-13 00:00:00.0000000","2010-01-21 00:00:00.0000000",0,0,0,12848940,12848940,12848940,4199000,4199000,17047940,NA,0,1,0,0,0,2,1
25561280,1,3052701.75,3052701.75,3052701.75,2013,2013,0,"","W911N213C0020",NA,"",23356,"","2100","W911N2",NA,NA,NA,"J","000","","C",NA,NA,NA,"True",NA,NA,3052701.75,"2013-02-20 00:00:00.0000000","2013-02-20 00:00:00.0000000",0,0,0,0,0,0,3052701.75,3052701.75,3052701.75,1,0,0,0,0,0,0,0
2943654,1402,21981815591.3087,22630545687.9008,23302751845.9908,2003,2013,0,"","MDA90603C0009",NA,"",23356,"","","",NA,NA,NA,"","000","","A",NA,NA,NA,"",NA,NA,21981815591.3087,"2003-09-09 00:00:00.0000000","2013-09-26 00:00:00.0000000",142958137.41,102055218.97,102055218.97,5393905781.9656,2981301926.7981,2651952189.2481,38306521,12138306521,13138306521,NA,1,1,1,402,1,227,1
3039272,139,91599774.63,0,0,2003,2013,0,"","N0014003C0040",NA,"",23356,"","1700","",NA,NA,NA,"","000","","A",NA,NA,NA,"",NA,NA,91599774.63,"2003-09-26 00:00:00.0000000","2012-10-22 00:00:00.0000000",15649945,0,0,0,0,0,4e+06,0,0,NA,1,1,0,13,1,3,1
26347116,1,102426880,102426880,102426880,2013,2013,0,"","N0001913C0162",NA,"",23356,"","1700","N00019",NA,NA,NA,"J","368","","C",NA,NA,NA,"True",NA,NA,102426880,"2013-09-25 00:00:00.0000000","2013-09-25 00:00:00.0000000",0,0,0,0,0,0,102426880,102426880,102426880,1,0,0,0,0,0,0,0
18628641,5,69564982,69564982,69564982,2007,2009,1,"M6785405D7043","0007",NA,"",398232,"","1700","M67854",NA,NA,NA,"J","000","","D",NA,NA,NA,"True",NA,NA,69564982,"2007-02-02 00:00:00.0000000","2009-05-28 00:00:00.0000000",0,0,0,0,0,0,69564982,69564982,69564982,NA,0,1,0,1,1,0,0
2960645,348,30130263955.55,314221885,29262208073.55,2002,2013,0,"","N0001902C3002",NA,"",23356,"","1700","",NA,NA,NA,"","","","D",NA,NA,NA,"False",NA,NA,30130263955.55,"2001-10-26 00:00:00.0000000","2014-01-24 00:00:00.0000000",84411645.93,0,199257327.93,113680489.07,15924439,1499850139,2.6e+07,0,18981925201,NA,0,1,0,40,1,55,1
18779635,4,12849460,12849460,12849460,2006,2009,1,"N0016404D8528","0003",NA,"",39038,"","1700","N00164",NA,NA,NA,"J","000","","C",NA,NA,NA,"True",NA,NA,12849460,"2006-08-30 00:00:00.0000000","2008-10-22 00:00:00.0000000",0,0,0,0,0,0,12849460,12849460,12849460,NA,0,1,0,0,0,3,1
22286012,1,287979,287979,287979,2010,2010,1,"SPM50002D0122","DZU2",NA,"",400817,"","97AS","SPM500",NA,NA,NA,"Z","000","","D",NA,NA,NA,"False",NA,NA,287979,"2009-11-06 00:00:00.0000000","2009-11-06 00:00:00.0000000",0,0,0,0,0,0,287979,287979,287979,2,0,0,0,0,0,0,0
9843350,14,14381408,14381408,14381408,2009,2010,1,"F0960303D0095","6027",NA,"",227097,"","5700","FA8528",NA,NA,NA,"J","000","","A",NA,NA,NA,"True",NA,NA,14381408,"2009-06-22 00:00:00.0000000","2010-09-24 00:00:00.0000000",0,0,0,0,0,0,2275808,2275808,2275808,NA,1,1,0,0,0,0,0
20085539,1,67156,0,0,2000,2000,1,"SP020096D7018","ZJ89",NA,"",274765,"","97AS","0120",NA,NA,NA,"J","4000","","A",NA,NA,NA,"True",NA,NA,67156,"2000-05-04 00:00:00.0000000","2000-05-04 00:00:00.0000000",0,0,0,0,0,0,67156,0,0,4,0,0,0,0,0,0,0
7953454,108,675220466.23,339753986.11,339753986.11,2005,2013,0,"","W52P1J05C0030",NA,"",23356,"","2100","W52P1J",NA,NA,NA,"K","000","","D",NA,NA,NA,"True",NA,NA,675220466.23,"2005-04-29 00:00:00.0000000","2013-07-23 00:00:00.0000000",0,0,0,623698950.6,339316193.41,339316193.41,46910882,0,0,NA,0,1,0,2,1,84,1
540598,70,12201234,0,0,2001,2004,0,"","DACA2701C0021",NA,"",23356,"","2100","",NA,NA,NA,"J","","","D",NA,NA,NA,"True",NA,NA,12201234,"2001-06-07 00:00:00.0000000","2004-01-30 00:00:00.0000000",1255422,0,0,345812,0,0,10600000,0,0,NA,0,1,0,64,1,5,1
1198863,2919,9581107155.05,1156691731.67,1160923128.83,2000,2013,0,"","F4261098C0001",NA,"",23356,"","","",NA,NA,NA,"","","","A",NA,NA,NA,"",NA,NA,9581107155.05,"1999-10-19 00:00:00.0000000","2013-10-01 00:00:00.0000000",218891439,6400130,6400130,4213414735.54,511582886.06,511582886.06,0,0,0,NA,1,1,1,63,1,1132,1
2860600,92,577088354.99,0,0,2003,2013,0,"","M0002702C0002",NA,"",23356,"","1700","",NA,NA,NA,"","000","","A",NA,NA,NA,"True",NA,NA,577088354.99,"2002-11-01 00:00:00.0000000","2013-07-26 00:00:00.0000000",3152437.04,0,0,142864797.45,0,0,53825936,0,0,NA,1,1,0,18,1,15,1
17777030,1,5954,5954,5954,2007,2007,1,"GS35F0512J","FA441707F0274",NA,"",287184,"","5700","FA4417",NA,NA,NA,"J","000","","A",NA,NA,NA,"True",NA,NA,5954,"2007-08-03 00:00:00.0000000","2007-08-03 00:00:00.0000000",0,0,0,0,0,0,5954,5954,5954,3,0,0,0,0,0,0,0
7972211,34,65446765,65446765,65446765,2009,2011,0,"","W56HZV09C0109",NA,"",23356,"","2100","W56HZV",NA,NA,NA,"U","000","","A",NA,NA,NA,"False",NA,NA,65446765,"2008-10-29 00:00:00.0000000","2011-08-22 00:00:00.0000000",77206,77206,77206,11668381,11668381,11668381,35942059,35942059,35942059,NA,0,1,0,2,1,23,1
2165123,3,2862749,0,0,2005,2010,0,"","HDTRA105C0028",NA,"",23356,"","9761","HDTRA1",NA,NA,NA,"Y","000","","A",NA,NA,NA,"False",NA,NA,2862749,"2005-06-24 00:00:00.0000000","2010-03-04 00:00:00.0000000",1862749,0,0,0,0,0,1e+06,0,0,NA,0,1,0,1,1,0,0
22777890,1,483463.38,483463.38,483463.38,2012,2012,1,"SPRPA109G004Y","5890",NA,"",256309,"","97AS","SPRPA1",NA,NA,NA,"J","000","","C",NA,NA,NA,"True",NA,NA,483463.38,"2012-01-18 00:00:00.0000000","2012-01-18 00:00:00.0000000",0,0,0,0,0,0,483463.38,483463.38,483463.38,1,0,0,0,0,0,0,0
15476479,8,2582915,395849,0,2002,2007,1,"GS10F0126J","DABT6002F0286",NA,"",415385,"","2100","",NA,NA,NA,"","","","A",NA,NA,NA,"True",NA,NA,2582915,"2002-08-28 00:00:00.0000000","2007-06-01 00:00:00.0000000",-139928,0,0,1943749,395849,0,779094,0,0,0,0,1,0,1,1,4,1
20423110,1,354537,0,0,2006,2006,1,"SP060006D1256","4L14",NA,"",406712,"","1700","N62649",NA,NA,NA,"J","000","","A",NA,NA,NA,"True",NA,NA,354537,"2006-09-13 00:00:00.0000000","2006-09-13 00:00:00.0000000",0,0,0,0,0,0,354537,0,0,4,0,0,0,0,0,0,0
18199646,28,67168947,67168947,67168947,2009,2013,1,"HC102808D2021","0005",NA,"",440661,"","97AK","HC1028",NA,NA,NA,"J","000","FAIR","A",NA,NA,NA,"True",NA,NA,67168947,"2009-09-30 00:00:00.0000000","2012-12-04 00:00:00.0000000",0,0,0,21269100.5,36092198.49,11758270.49,18542559.66,23920262,41060735,NA,0,1,0,0,0,13,1
2339752,391,18379252010.5076,0,0,2001,2013,0,"","HQ000601C0001",NA,"",23356,"","97JC","",NA,NA,NA,"","CAA","","A",NA,NA,NA,"False",NA,NA,18379252010.5076,"2000-12-22 00:00:00.0000000","2020-09-20 00:00:00.0000000",1999210110.81,0,0,232648009,0,0,3.84e+08,0,0,NA,0,1,0,83,1,10,1
25664260,19,285624504,285624502,285624502,2013,2013,1,"FA862011G4025","1328",NA,"",40721,"","5700","FA8620",NA,NA,NA,"","000","","C",NA,NA,NA,"",NA,NA,285624504,"2012-12-14 00:00:00.0000000","2013-07-30 00:00:00.0000000",7719372,7719372,7719372,2.5e+07,7654888,7654888,9e+07,270250242,270250242,NA,0,1,0,2,1,3,1
2960646,124,7314127836.23,7648698684.16,7952729952.16,2002,2013,0,"","N0001902C3003",NA,"",23356,"","1700","",NA,NA,NA,"R","000","","C",NA,NA,NA,"False",NA,NA,7314127836.23,"2001-10-26 00:00:00.0000000","2013-09-03 00:00:00.0000000",1.2e+07,0,0,152098752,2267779901,2403790106,1.4e+07,4803460088,4803460088,NA,0,1,0,1,1,16,1
3428089,8,82724138,82724138,84106712,2011,2013,0,"","N6134011C0006",NA,"",23356,"","1700","N61340",NA,NA,NA,"J","000","","C",NA,NA,NA,"True",NA,NA,82724138,"2011-01-14 00:00:00.0000000","2013-02-26 00:00:00.0000000",6239276,6239276,6239276,32861547,32861547,0,43543031,43543031,77787152,NA,0,1,0,2,1,2,1
9853973,2,235389533,0,0,2001,2001,1,"F1162600D0008","3",NA,"",363091,"","5700","QA02",NA,NA,NA,"J","3000","","D",NA,NA,NA,"True",NA,NA,235389533,"2000-10-01 00:00:00.0000000","2000-10-06 00:00:00.0000000",0,0,0,0,0,0,389533,0,0,NA,0,1,0,0,0,0,0
24570062,2,6685092,0,0,2006,2007,1,"W58RGZ06D0021","0001",NA,"",264628,"","2100","W58RGZ",NA,NA,NA,"J","","","C",NA,NA,NA,"True",NA,NA,6685092,"2005-12-16 00:00:00.0000000","2007-05-01 00:00:00.0000000",0,0,0,0,0,0,6685092,0,0,NA,0,1,0,0,0,0,0
2964441,790,13868053634,24135034080,24135034080,2009,2013,0,"","N0002409C2104",NA,"",23356,"","1700","",NA,NA,NA,"","516","","C",NA,NA,NA,"",NA,NA,13868053634,"2008-12-22 00:00:00.0000000","2013-09-27 00:00:00.0000000",113491460.01,6644317621,6644317621,50326240,85890344,25926840,2298264405,13951190158,14011153662,NA,0,1,0,447,1,164,1
24502416,73,295610763.795,295610763.795,370230508.485,2008,2013,1,"W15P7T06DE404","0009",NA,"",282530,"","2100","W15P7T",NA,NA,NA,"Y","000","FAIR","A",NA,NA,NA,"False",NA,NA,295610763.795,"2008-03-07 00:00:00.0000000","2013-09-27 00:00:00.0000000",0,0,0,69272000,69272000,-74477835.81,17725302,17725302,305394008.49,NA,0,1,0,1,1,7,1
8316258,78,1427971530,1511368389.7,1534368389.7,2007,2013,0,"","W912DR07C0027",NA,"",23356,"","2100","W912DR",NA,NA,NA,"","000","","A",NA,NA,NA,"True",NA,NA,1427971530,"2007-08-10 00:00:00.0000000","2013-08-22 00:00:00.0000000",7564246,396299018,396299018,132424932.7,331945159.7,94991159.7,4.2e+07,334391000,1441393000,NA,0,1,0,42,1,16,1
1148145,753,3383370734.94,872698147.52,850599582.76,2000,2013,0,"","F0470196C0025",NA,"",23356,"","","",NA,NA,NA,"","","","A",NA,NA,NA,"",NA,NA,3383370734.94,"1999-11-29 00:00:00.0000000","2013-09-30 00:00:00.0000000",244998209.82,57276673.82,57276673.82,1487507662.5175,448368809.8975,435394677.0375,0,0,0,NA,1,1,0,35,1,370,1
9120911,124,7865825759.28,0,0,2006,2013,1,"DAAA0902D0007","0139",NA,"",281344,"","2100","W52P1J",NA,NA,NA,"","000","","A",NA,NA,NA,"False",NA,NA,7865825759.28,"2006-08-22 00:00:00.0000000","2013-09-11 00:00:00.0000000",-27662516.57,0,0,5.83e+08,0,0,4e+08,0,0,NA,0,1,0,4,1,14,1
18969827,5,2249221.56,2355637,2355637,2008,2011,1,"N0042101D0101","0224",NA,"",219408,"","1700","N00421",NA,NA,NA,"U","000","","D",NA,NA,NA,"False",NA,NA,2249221.56,"2008-01-01 00:00:00.0000000","2011-08-15 00:00:00.0000000",0,0,0,176186,176186,176186,2179451,2179451,2179451,NA,0,1,0,0,0,1,1
2943672,295,3384012560.23,0,0,2000,2009,0,"","MDA90697C0005",NA,"",23356,"","9760","",NA,NA,NA,"","","","A",NA,NA,NA,"",NA,NA,3384012560.23,"1999-12-01 00:00:00.0000000","2009-05-04 00:00:00.0000000",292199746,0,0,1075328434,0,0,0,0,0,0,1,1,1,79,1,34,1
20268174,1,6630465,0,0,2004,2004,1,"SP050001D0066","0020",NA,"",302726,"","97AS","0500",NA,NA,NA,"K","000","","A",NA,NA,NA,"True",NA,NA,6630465,"2004-09-21 00:00:00.0000000","2004-09-21 00:00:00.0000000",0,0,0,0,0,0,6630465,0,0,10,0,0,0,0,0,0,0
7989729,16,501465248,501465248,501465248,2012,2013,0,"","W58RGZ12C0089",NA,"",23356,"","2100","W58RGZ",NA,NA,NA,"J","158","","C",NA,NA,NA,"True",NA,NA,501465248,"2012-04-30 00:00:00.0000000","2013-09-30 00:00:00.0000000",0,0,0,26067486,26067486,26067486,171777672,171777672,171777672,NA,0,1,0,0,0,2,1
9961693,1,331647,331647,331647,2007,2007,1,"FA251704D0001","7063",NA,"",443845,"","5700","FA2517",NA,NA,NA,"U","000","","D",NA,NA,NA,"False",NA,NA,331647,"2007-07-25 00:00:00.0000000","2007-07-25 00:00:00.0000000",0,0,0,0,0,0,331647,331647,331647,7,0,0,0,0,0,0,0
25004151,1,59939.4,59939.4,59939.4,2010,2010,1,"W91QUZ07D0011","1D48",NA,"",351086,"","2100","W9124M",NA,NA,NA,"J","000","","A",NA,NA,NA,"True",NA,NA,59939.4,"2010-01-13 00:00:00.0000000","2010-01-13 00:00:00.0000000",0,0,0,0,0,0,59939.4,59939.4,59939.4,17,0,0,0,0,0,0,0
9945988,5,3728975,0,0,2004,2006,1,"F4460003D0003","0007",NA,"",254946,"","5700","",NA,NA,NA,"J","000","FAIR","A",NA,NA,NA,"True",NA,NA,3728975,"2004-07-07 00:00:00.0000000","2006-02-17 00:00:00.0000000",0,0,0,1897560,0,0,1831415,0,0,NA,0,1,0,0,0,4,1
