"CSIScontractID","SumOfnumberOfActions","SumofObligatedAmount","SumOfbaseandexercisedoptionsvalue","Sumofbaseandalloptionsvalue","StartFiscal_Year","maxoffiscal_year","IsIDV","idvpiid","piid","ContractLabelID","hyphenatedIDVpiid","CSISidvpiidID","IsPerformanceBasedLogistics","ContractingAgencyID","ContractingOfficeID","MajorCommandID","FundingAgencyID","FundingOfficeID","TypeOfContractPricing","systemequipmentcode","statutoryexceptiontofairopportunity","extentcompeted","IsSomeCompetition","IsFullAndOpen","IsCostBased","IsFixedPrice","IsIncentive","contractactiontype","ObligatedAmount","MinOfEffectiveDate","MaxOfEffectiveDate","ChangeOrderObligatedAmount","ChangeOrderBaseAndExercisedOptionsValue","ChangeOrderBaseAndAllOptionsValue","NewWorkObligatedAmount","NewWorkBaseAndExercisedOptionsValue","NewWorkBaseAndAllOptionsValue","SumOfUnmodifiedobligatedAmount","SumOfUnmodifiedbaseandexercisedoptionsvalue","SumOfUnmodifiedbaseandalloptionsvalue","UnmodifiedNumberOfOffersReceived","IsClosed","IsModified","IsTerminated","SumOfisChangeOrder","MaxOfisChangeOrder","SumOfisNewWork","MaxOfisNewWork"
7933261,155,435317618.8574,435317618.8574,435317618.8574,2008,2013,0,"","W31P4Q08C0021",NA,"",23356,"","2100","W31P4Q",NA,NA,NA,"J","","","C",NA,NA,NA,"True",NA,NA,435317618.8574,"2007-12-27 00:00:00.0000000","2013-06-11 00:00:00.0000000",10750212.18,10750212.18,10750212.18,178968480.6074,178968480.6074,178968480.6074,245598926.07,245598926.07,245598926.07,NA,0,1,0,6,1,147,1
24537231,22,44834017.42,47133638.99,47133638.99,2010,2012,1,"W52H0908D0393","BR02",NA,"",158520,"","","",NA,NA,NA,"J","000","","C",NA,NA,NA,"True",NA,NA,44834017.42,"2010-09-08 00:00:00.0000000","2012-02-16 00:00:00.0000000",0,0,0,243212.51,243212.51,243212.51,46136507.78,46136507.78,46136507.78,NA,0,1,0,0,0,9,1
1431294,42,388643719,0,0,2006,2009,0,"","FA880806C0003",NA,"",23356,"","5700","FA8808",NA,NA,NA,"","","","A",NA,NA,NA,"False",NA,NA,388643719,"2006-01-27 00:00:00.0000000","2009-09-04 00:00:00.0000000",0,0,0,2791507,0,0,35716278,0,0,NA,1,1,1,0,0,9,1
18655513,3,125000,125000,125000,2011,2012,1,"N0001411D0323","0025",NA,"",251201,"","1700","N00014",NA,NA,NA,"U","000","","C",NA,NA,NA,"False",NA,NA,125000,"2011-04-07 00:00:00.0000000","2012-01-24 00:00:00.0000000",0,0,0,0,0,0,125000,125000,125000,NA,0,1,0,0,0,0,0
3434442,6,1562815,0,0,2002,2002,0,"","N6238302C0097",NA,"",23356,"","1700","G1980",NA,NA,NA,"J","2000","","D",NA,NA,NA,"True",NA,NA,1562815,"2002-03-12 00:00:00.0000000","2002-05-14 00:00:00.0000000",204625,0,0,0,0,0,1358190,0,0,NA,0,1,0,5,1,0,0
626028,58,149184460,0,0,NA,2005,0,"","DCA20093C0046",NA,"",23356,"","97AK","",NA,NA,NA,"","","","A",NA,NA,NA,"False",NA,NA,149184460,"2000-01-06 00:00:00.0000000","2005-09-30 00:00:00.0000000",27199386,0,0,0,0,0,0,0,0,0,0,1,0,20,1,0,0
461423,368,1905628595.81,0,0,2000,2013,0,"","DAAA0997C0025",NA,"",23356,"","2100","",NA,NA,NA,"","000","","C",NA,NA,NA,"",NA,NA,1905628595.81,"1999-10-13 00:00:00.0000000","2013-09-23 00:00:00.0000000",450633935,0,0,798242540.68,0,0,0,0,0,0,0,1,0,100,1,105,1
2943656,1035,16517126050.7792,17460593837.4792,17992488247.6192,2003,2013,0,"","MDA90603C0011",NA,"",23356,"","","",NA,NA,NA,"","000","","A",NA,NA,NA,"",NA,NA,16517126050.7792,"2003-09-09 00:00:00.0000000","2013-09-27 00:00:00.0000000",214274949.47,10846094681.57,10845962885.57,4751689154.2692,6475511900.3292,7007032252.4692,26616962,26616962,26616962,NA,1,1,0,342,1,99,1
11120624,2,92428,92428,92428,2008,2008,1,"GS03F0056P","FA460008F0051",NA,"",300799,"","5700","FA4600",NA,NA,NA,"J","000","FAIR","A",NA,NA,NA,"True",NA,NA,92428,"2008-07-22 00:00:00.0000000","2008-09-18 00:00:00.0000000",0,0,0,0,0,0,90428,90428,90428,NA,0,1,0,0,0,0,0
9812964,1,6040000,0,0,2003,2003,1,"F0162094D0002","6250",NA,"",237224,"","5700","GV90",NA,NA,NA,"J","3000","","A",NA,NA,NA,"True",NA,NA,6040000,"2003-01-10 00:00:00.0000000","2003-01-10 00:00:00.0000000",0,0,0,0,0,0,6040000,0,0,5,0,0,0,0,0,0,0
