"systemequipmentcode","CSIScontractID","SumOfnumberOfActions","SumofObligatedAmount","SumOfbaseandexercisedoptionsvalue","Sumofbaseandalloptionsvalue","StartFiscal_Year","maxoffiscal_year","IsIDV","idvpiid","piid","ContractLabelID","hyphenatedIDVpiid","CSISidvpiidID","IsPerformanceBasedLogistics","ContractingAgencyID","ContractingOfficeID","MajorCommandID","FundingAgencyID","FundingOfficeID","TypeOfContractPricing","systemequipmentcode2","statutoryexceptiontofairopportunity","extentcompeted","IsCostBased","IsFixedPrice","IsIncentive","contractactiontype","ObligatedAmount","MinOfEffectiveDate","MaxOfEffectiveDate","SumOfUnmodifiedobligatedAmount","SumOfUnmodifiedbaseandexercisedoptionsvalue","SumOfUnmodifiedbaseandalloptionsvalue","UnmodifiedNumberOfOffersReceived","IsClosed","IsModified","IsTerminated","SumOfisChangeOrder","MaxOfisChangeOrder","SumOfisNewWork","MaxOfisNewWork","LastSignedLastDateToOrder","LastUltimateCompletionDate","LastCurrentCompletionDate","ChangeOrderObligatedAmount","ChangeOrderBaseAndExercisedOptionsValue","ChangeOrderBaseAndAllOptionsValue","NewWorkObligatedAmount","NewWorkBaseAndExercisedOptionsValue","NewWorkBaseAndAllOptionsValue","IsFullAndOpen","IsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","numberofoffersreceived","multipleorsingleawardidc","AwardOrIDVcontractactiontype"
"180","18785811","3","30504","30504","30504","2011","2011","1","N0016410DGP38","0003","NA","","230745","","1700","N00164","NA","NA","NA","J","180","","D","NA","True","NA","NA","30504","2010-10-28 00:00:00.0000000","2011-03-16 00:00:00.0000000","30504","30504","30504","NA","0","1","0","0","0","0","0","NA","2011-04-25","2011-04-25","0","0","0","0","0","0",0,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"515","17660924","1","3510","3510","3510","2008","2008","1","GS35F0240T","M6785408F0024","NA","","366114","","1700","M67854","NA","NA","NA","J","515","FOO","A","NA","True","NA","NA","3510","2008-04-08 00:00:00.0000000","2008-04-08 00:00:00.0000000","3510","3510","3510","3","0","0","0","0","0","0","0","NA","2008-04-14","2008-04-14","0","0","0","0","0","0",0,0,1,1,3,"MULTIPLE AWARD","Federal Supply Schedule"
"180","3052179","1","21225","21225","21225","2007","2007","0","","N0016407P0132","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","21225","2006-11-07 00:00:00.0000000","2006-11-07 00:00:00.0000000","21225","21225","21225","1","0","0","0","0","0","0","0","NA","2007-03-12","2007-03-12","0","0","0","0","0","0",0,0,1,0,1,NA,"Purchase Order"
"180","3055823","2","5000","5000","5000","2008","2008","0","","N0016408P1483","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","5000","2008-08-19 00:00:00.0000000","2008-09-23 00:00:00.0000000","5000","5000","5000","NA","0","1","0","0","0","0","0","NA","2009-08-19","2009-08-19","0","0","0","0","0","0",0,0,1,0,1,NA,"Purchase Order"
"301","24768994","8","3386250","6772500","6772500","2007","2007","1","W912D105A0035","0059","NA","","429438","","2100","W912D1","NA","NA","NA","J","","","A","NA","True","NA","NA","3386250","2007-01-20 00:00:00.0000000","2007-07-02 00:00:00.0000000","483750","483750","483750","NA","0","1","0","1","1","1","1","NA","2007-08-08","2007-08-08","1451250","4837500","4837500","1935000","1935000","1935000",1,1,NA,NA,3,"SINGLE AWARD","Indefinite Delivery Contract"
"180","3057191","1","4685.52","4685.52","4685.52","2009","2009","0","","N0016409P0926","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","4685.52","2009-07-23 00:00:00.0000000","2009-07-23 00:00:00.0000000","4685.52","4685.52","4685.52","1","0","0","0","0","0","0","0","NA","2009-11-14","2009-11-14","0","0","0","0","0","0",1,1,NA,NA,1,NA,"Purchase Order"
"180","2964001","16","15642876","15642876","15642876","2007","2011","0","","N0002407C5103","NA","","23356","","1700","N00024","NA","NA","NA","J","180","","B","NA","True","NA","NA","15642876","2007-01-10 00:00:00.0000000","2011-06-14 00:00:00.0000000","4950000","4950000","4950000","NA","0","1","0","0","0","0","0","NA","2010-12-31","2010-12-31","0","0","0","0","0","0",0,0,0,0,1,NA,"Definitive Contract"
"301","7969758","4","762762","762762","1085236","2008","2009","0","","W56HZV08C0145","NA","","23356","","2100","W56HZV","NA","NA","NA","","301","","C","NA","False","NA","NA","762762","2008-04-28 00:00:00.0000000","2009-05-21 00:00:00.0000000","6331055","6331055","6653529","NA","1","1","1","0","0","1","1","NA","2060-12-25","2060-12-25","0","0","0","-5211858","-5211858","-5211858",0,0,1,0,1,NA,"Definitive Contract"
"180","3055176","2","18164","18164","18164","2008","2008","0","","N0016408P0792","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","18164","2008-04-03 00:00:00.0000000","2008-04-21 00:00:00.0000000","18164","18164","18164","NA","0","1","0","0","0","0","0","NA","2008-07-11","2008-07-11","0","0","0","0","0","0",1,1,NA,NA,2,NA,"Purchase Order"
"516","2964277","37","41218876","59014863","59184967","2008","2013","0","","N0002408C6278","NA","","23356","","","","NA","NA","NA","","516","","B","NA","","NA","NA","41218876","2008-05-27 00:00:00.0000000","2013-09-27 00:00:00.0000000","4215496","13384913","56450682","NA","0","1","0","0","0","6","1","NA","2014-03-31","2014-03-31","0","0","0","8883431","43336628","440963",0,0,0,0,1,NA,"Definitive Contract"
